sim_id,timestamp,X,Y,Z,T,press,Darcy_V_X,Darcy_V_Y,Darcy_V_Z,static_1,static_2,static_3,static_4,static_5,static_6,static_7,static_8,static_9,static_10,static_11,static_12,static_13,static_14,target_1,target_2,target_3,target_4_pa,target_5
1.0,2024-02-01T05:04:31,4144551.7972715534,647501.226599997,-2614.12958850166,377.7387051105932,43492295.5438568,2.1813908669913177e-05,-1.7065745084731292e-05,0.001067609775671236,22.0665722315523,304.095894867418,0.0005284762111469,0.0348230198524853,1466.15455239432,1931.90375731985,2467.08381240053,1.74647621483584,2.65308434456695,3.56040290097691,768.356898166888,857.489301509883,888.498151926761,13.0,-0.796440618281217,0.379540077125116,-1.10653316222237,43303903.5291068,1.83880685072331e-08
1.0,2024-02-01T05:04:31,4144538.1111738663,647501.226599997,-2329.610371576235,363.79663217915447,44122591.5539699,-2.5344306178065183e-06,2.805358473712389e-05,0.001064368717122625,22.0665722315523,304.095894867418,0.0005284762111469,0.0348230198524853,1466.15455239432,1931.90375731985,2467.08381240053,1.74647621483584,2.65308434456695,3.56040290097691,768.356898166888,857.489301509883,888.498151926761,13.0,-0.796440618281217,0.379540077125116,-1.10653316222237,43303903.5291068,1.83880685072331e-08
1.0,2024-02-01T05:04:31,4144529.59399996,647529.8898273736,-1856.0890952600487,351.2687578446416,43282778.916388065,6.224724773482873e-06,-7.121332887532066e-05,0.001005465808869847,22.0665722315523,304.095894867418,0.0005284762111469,0.0348230198524853,1466.15455239432,1931.90375731985,2467.08381240053,1.74647621483584,2.65308434456695,3.56040290097691,768.356898166888,857.489301509883,888.498151926761,13.0,-0.796440618281217,0.379540077125116,-1.10653316222237,43303903.5291068,1.83880685072331e-08
1.0,2024-02-01T05:04:31,4144546.3913849606,647501.226599997,-1407.3645359413465,337.00326225866047,44137537.57743678,-7.322569909219677e-06,3.149717772160924e-05,4.512139506994788e-05,22.0665722315523,304.095894867418,0.0005284762111469,0.0348230198524853,1466.15455239432,1931.90375731985,2467.08381240053,1.74647621483584,2.65308434456695,3.56040290097691,768.356898166888,857.489301509883,888.498151926761,13.0,-0.796440618281217,0.379540077125116,-1.10653316222237,43303903.5291068,1.83880685072331e-08
1.0,2024-02-01T05:04:31,4144543.4045993374,647501.226599997,-1144.8024286423315,324.97816046209795,44069893.1798956,2.9137013257185682e-05,-7.004174048767709e-05,0.0001191916789398499,22.0665722315523,304.095894867418,0.0005284762111469,0.0348230198524853,1466.15455239432,1931.90375731985,2467.08381240053,1.74647621483584,2.65308434456695,3.56040290097691,768.356898166888,857.489301509883,888.498151926761,13.0,-0.796440618281217,0.379540077125116,-1.10653316222237,43303903.5291068,1.83880685072331e-08
1.0,2024-02-01T05:04:31,4144551.0453768396,647538.6719275038,-710.2418765463036,311.37928386093586,44631739.92537804,0.00010383979728995733,7.389011471239906e-05,1.4586799209820128e-07,22.0665722315523,304.095894867418,0.0005284762111469,0.0348230198524853,1466.15455239432,1931.90375731985,2467.08381240053,1.74647621483584,2.65308434456695,3.56040290097691,768.356898166888,857.489301509883,888.498151926761,13.0,-0.796440618281217,0.379540077125116,-1.10653316222237,43303903.5291068,1.83880685072331e-08
1.0,2024-02-01T05:04:31,4144535.969338378,647501.226599997,-322.37654140392806,300.4779061663798,43268711.157948844,-1.270277675030703e-05,-7.15986071843012e-05,-1.4655616946311808e-05,22.0665722315523,304.095894867418,0.0005284762111469,0.0348230198524853,1466.15455239432,1931.90375731985,2467.08381240053,1.74647621483584,2.65308434456695,3.56040290097691,768.356898166888,857.489301509883,888.498151926761,13.0,-0.796440618281217,0.379540077125116,-1.10653316222237,43303903.5291068,1.83880685072331e-08
1.0,2024-02-01T05:04:31,4144529.59399996,647509.8065598354,0.0,286.8912817083898,43934930.02515903,4.304002830190718e-05,-3.837472005283538e-05,2.4651186884856628e-05,22.0665722315523,304.095894867418,0.0005284762111469,0.0348230198524853,1466.15455239432,1931.90375731985,2467.08381240053,1.74647621483584,2.65308434456695,3.56040290097691,768.356898166888,857.489301509883,888.498151926761,13.0,-0.796440618281217,0.379540077125116,-1.10653316222237,43303903.5291068,1.83880685072331e-08
1.0,2024-02-01T05:04:31,4144560.0073237703,647607.774432257,-2451.5326623278875,369.7682671602341,43611824.76101179,-0.0001284680036783001,-7.5302664231814e-05,0.0010717215829049102,22.0665722315523,304.095894867418,0.0005284762111469,0.0348230198524853,1466.15455239432,1931.90375731985,2467.08381240053,1.74647621483584,2.65308434456695,3.56040290097691,768.356898166888,857.489301509883,888.498151926761,13.0,-0.796440618281217,0.379540077125116,-1.10653316222237,43303903.5291068,1.83880685072331e-08
1.0,2024-02-01T05:04:31,4144529.59399996,647615.7983554527,-2251.4529008987397,365.18377749928635,44547293.70920863,-1.5445772861635887e-05,-8.36751024171462e-05,0.0010031856610235477,22.0665722315523,304.095894867418,0.0005284762111469,0.0348230198524853,1466.15455239432,1931.90375731985,2467.08381240053,1.74647621483584,2.65308434456695,3.56040290097691,768.356898166888,857.489301509883,888.498151926761,13.0,-0.796440618281217,0.379540077125116,-1.10653316222237,43303903.5291068,1.83880685072331e-08
